PIDN,Ca,P,pH,SOC,Sand
09gt9UK5,0.00097529934,0.014676031,0.87678397,0.09316856,0.0143961515
0BVvxJ6a,0.008635966,0.0055114618,0.90088016,0.08452705,0.00044530779
0KbdgApg,0.0057250005,0.012963314,0.5139199,0.46681765,0.00057412003
0MnuuduB,0.0047331834,0.0019935428,0.13103577,0.8622362,1.3332266e-06
0PcIsF9z,0.00033688097,0.020300476,0.39218315,0.57607,0.011109495
0ShTFLYJ,0.0004184426,0.011848154,0.96004564,0.002596766,0.025090974
0XZh9jka,0.00025762524,0.00038041137,0.01845749,0.9809044,1.5285211e-07
0Y7Wegri,0.0013054131,0.0063257692,0.7249554,0.24816501,0.019248456
0dTqplIM,0.0018176389,0.0014710504,0.8314262,0.16526607,1.9007579e-05
0lNiZicC,0.001327461,0.01846198,0.95973337,0.018464403,0.002012856
0rGeJ0QN,0.00015140894,0.0075107105,0.44563308,0.5363787,0.010326051
0sXI9ytQ,2.1772923e-05,0.0015176153,0.06608892,0.0054179267,0.92695373
0ukt4aP6,0.0086178975,0.0020475723,0.9738689,0.014749947,0.0007156261
1AGspb8f,0.00026725608,0.0048164255,0.32634556,0.6685354,3.5283265e-05
1Csy0gvE,0.00013695628,0.0071664182,0.74614537,0.08576417,0.16078708
1Ic2hly1,0.0010138578,0.015710797,0.3608307,0.60487616,0.017568544
1PPbaTwt,0.001614383,0.0073775854,0.94068074,0.049235914,0.0010913949
1SO5VJNy,0.00014020114,0.0068048276,0.639523,0.091572836,0.26195917
1arHxK3Y,0.012056322,0.0012170689,0.92214376,0.063125625,0.0014572305
1fCW4Bba,0.0013003397,0.01721861,0.6130833,0.35017312,0.01822461
1qDZNvIm,0.00011968806,0.010837538,0.47792956,0.0848707,0.42624247
28LYJC2V,0.00018474956,0.0033844183,0.2610535,0.7351347,0.0002425321
2CzACvQq,0.02491311,0.0016938462,0.93111545,0.042090904,0.00018664899
2FT3crfv,0.0011028366,0.003124623,0.626282,0.3694736,1.6961221e-05
2Fy2uHVg,0.0030397153,0.04288796,0.81090087,0.13983312,0.0033383658
2MkMEApm,0.00045156493,0.011352591,0.72816545,0.102818206,0.15721218
2NDGWEOe,0.0031799863,0.00019429182,0.9951527,0.0013851095,8.773016e-05
2NyyCiqn,0.000116329036,0.005435334,0.7586703,0.06720936,0.1685687
2QRzIb84,0.0114460215,0.0020728428,0.9456225,0.03776683,0.0030917833
2QcbdrUZ,0.0012501515,0.04153638,0.3111145,0.15542184,0.49067724
2YgAimWK,0.0010093537,0.013631,0.7809064,0.17199534,0.032457884
2cx85d9H,0.010338493,0.012440994,0.5720154,0.40446922,0.0007358245
2homMXMV,0.00016900215,0.011561922,0.3970406,0.5529973,0.038231134
2ldLrUtq,0.0011910147,0.011000499,0.8752415,0.11249236,7.457136e-05
2nsACW6G,0.000362894,0.00079285115,0.0058838218,0.9929604,3.2866506e-08
2yMbVnWc,5.1032202e-05,0.00078788295,0.013653085,0.98519623,0.0003116659
36r8sgGQ,0.00015073264,0.0075303023,0.7059794,0.030331844,0.2560077
3NXAXCl3,0.0007011698,0.0031572748,0.0649071,0.93123144,2.9438493e-06
3QG0z6fl,0.0012300774,0.0136180725,0.90266526,0.07898922,0.003497464
3WS8R9qm,0.0002221628,0.00010192989,0.005225493,0.99445045,1.1832747e-08
3fRLm8f5,0.00023410466,0.009048184,0.46411562,0.5105705,0.016031599
3mZhp1nQ,0.0015963801,0.037413444,0.51085216,0.19708902,0.253049
3pikJXRL,0.0010815441,0.005562026,0.06422614,0.92912555,4.7852163e-06
3pxOEGHL,0.00011923418,0.0066307704,0.80153483,0.04146442,0.15025072
3ttdV3f5,0.0051680002,0.10480933,0.35191077,0.5200793,0.018032564
3v4X6Mfe,0.0050715986,0.00050103746,0.9904845,0.00357625,0.00036669496
3wORuPiv,0.0024945033,0.0068232976,0.36044678,0.6302286,6.9421762e-06
43EfrxZj,0.002320282,0.003214791,0.6411128,0.35324615,0.00010583385
457Vwm21,0.0035018236,0.005749687,0.6801955,0.30782068,0.002732297
46KNnOdx,0.00028179877,0.011270595,0.41261983,0.5737875,0.0020402733
47TwNsVC,0.000141894,0.00043157642,0.008503692,0.99092287,4.793144e-08
49856RpO,0.0007100483,0.007057947,0.74586606,0.24632859,3.7329257e-05
4Ane1o2N,0.0002680873,0.008606236,0.8930361,0.08119685,0.016892754
4AyVUgSc,0.0011270955,0.018204805,0.9553343,0.021480631,0.003853165
4B1951On,0.002136538,0.0037354215,0.93859243,0.05540054,0.00013503322
4OL39Teo,0.0016285226,0.0034779941,0.5853361,0.40929708,0.00026024203
4eQ90eLY,0.0014780248,0.003828867,0.4575663,0.53710747,1.9349203e-05
4o5jwMj8,0.00046858366,0.005967025,0.9293317,0.04032435,0.023908274
4vPgpl2c,0.0006193817,0.011126735,0.8680205,0.11809407,0.002139323
51r9aA0d,0.0010358617,0.01140154,0.9698766,0.016692495,0.000993484
58SmeRoP,0.0018829439,0.0067465613,0.6832347,0.30783784,0.00029799744
5HJp1AXn,0.00037414907,0.0046033277,0.13118847,0.86338216,0.00045188656
5MBZW7fx,0.002270507,0.0012622128,0.98513573,0.011135999,0.00019555006
5Nq3gHaP,0.0019353105,0.002272766,0.5498511,0.44570372,0.00023720265
5RmwFFK3,0.003680789,0.0020614734,0.7791213,0.21504818,8.8283974e-05
5Tu5Jbov,0.0018181489,0.025223698,0.55117023,0.42061064,0.0011773057
5YEolkev,0.0006191338,0.0043120547,0.9481751,0.04678557,0.00010813039
5a8sf6QV,0.0073445886,0.010207206,0.7168625,0.26511833,0.0004674035
5eSvmqYm,0.0048494693,0.05254761,0.83139724,0.099539526,0.011666135
5hkN8fiv,0.0003396729,0.005171235,0.14396462,0.85037124,0.00015330595
5oK8Gti5,0.0007574243,0.012899688,0.8395681,0.10171202,0.045062717
5paniGaU,6.281743e-06,0.002124813,0.12576602,0.017580837,0.85452205
5vsr7ZUP,0.015530346,0.008391747,0.9321075,0.040268783,0.0037016573
60B4xMWI,0.0045097712,0.00485721,0.9450953,0.029868715,0.015669124
64jOUtKy,0.0027995834,0.0017155907,0.24516475,0.7502889,3.1229894e-05
6AJo4xNG,0.0013051038,0.018574871,0.3545052,0.6200068,0.0056079193
6CAvhEte,0.0013232683,0.011094832,0.8804064,0.10552229,0.0016532228
6CuGYjT5,0.11287521,0.0005122366,0.84024435,0.046317745,5.0341027e-05
6DGH8ujZ,0.000361553,0.011152218,0.30768758,0.68025345,0.00054516963
6PzsGdVm,0.00033488878,0.007245767,0.370245,0.62168664,0.00048772153
6UcSJMbq,0.006485558,0.002340642,0.96209705,0.022783294,0.0062933993
6WJbkH8U,0.0090634525,0.00044174856,0.9821472,0.008282869,6.467484e-05
6eUWsVzw,0.011991745,0.0044853534,0.93731546,0.04594708,0.00026038996
6gNyO7Do,0.0068046628,0.009332049,0.44513273,0.5379788,0.00075171056
6jT0AyHe,0.002359136,0.0030578778,0.70502806,0.28954706,7.818396e-06
6nBgCvWu,0.0004293923,0.022498524,0.16223487,0.17069955,0.6441377
6ro5mqg6,0.00020961097,0.008402517,0.6694205,0.25724536,0.064721964
6sGqObX4,0.0026682504,0.021673774,0.6428359,0.33263087,0.00019121854
6uEGy0n4,0.012474422,9.3296876e-05,0.9858477,0.0015679897,1.6518368e-05
7BZ4LxP8,0.0045163324,0.0022131647,0.92726773,0.06598513,1.7712848e-05
7CmigXKi,0.002000294,0.011415787,0.8956633,0.09054172,0.00037889215
7Ga0LpfR,0.0014464986,0.0010065665,0.303974,0.6935427,3.0180856e-05
7PQsFvsG,0.00017207798,0.0030717729,0.086229615,0.9104015,0.00012504167
7aF7nnwn,0.00026603867,0.008545534,0.7800271,0.0031408553,0.20802051
7asGzfX9,0.0011402998,0.0046708887,0.86225986,0.13071238,0.0012165583
7cg7C92o,0.0024761318,0.0042389063,0.48403674,0.5081892,0.001059042
7eOxTpsB,0.00019911911,0.0044380696,0.8505875,0.021991588,0.12278369
7ey0v7ma,0.0015126154,0.003548169,0.10583011,0.88910717,1.9228537e-06
7gocyrYl,0.0003108973,0.0036382517,0.3173662,0.6784586,0.00022605472
7gqR3GoA,0.00043008183,0.015529639,0.88201004,0.09708118,0.0049491115
7og7aUXB,0.0010649057,0.0034550065,0.8435779,0.15172738,0.00017478339
7onRfa8F,0.001358745,0.005334058,0.77429706,0.11090999,0.10810023
7umkNuxM,0.00063288596,0.0054605003,0.5344949,0.4591311,0.00028072615
7vPr9ExD,0.0063930224,0.012546074,0.6251996,0.3553021,0.0005593032
7zNjpCzu,0.004355793,0.03608337,0.54842806,0.4103537,0.00077913183
7ztsQNj3,0.0013755979,0.029114489,0.5232045,0.4448589,0.0014465398
86gppwMI,0.00037792223,0.021111889,0.50472933,0.31018567,0.16359511
88thAGdL,0.002588871,0.019470887,0.5987873,0.37482035,0.004332621
8GhU8STP,0.031405445,0.0010642826,0.8986054,0.06870684,0.00021813266
8NlzDcWe,0.0008340873,0.013995882,0.9591332,0.015052983,0.010983881
8QAejdLW,0.0050770985,0.012993424,0.46846277,0.5131668,0.00029995234
8RDeFxWM,0.00015755686,0.00828587,0.6501081,0.0694837,0.27196482
